cluster,benchmark_or_paper,year,source_url,source_title_found,source_status,citation_verified,task_type,generation_or_QA,long_context,character_state,relationship_state,style_or_genre,human_revision,subtext_or_implicit_state,what_we_borrow,gap_relative_to_us,notes
roleplay,RoleLLM,2024,https://aclanthology.org/2024.findings-acl.878/,"RoleLLM: Benchmarking, Eliciting, and Enhancing Role-Playing Abilities of Large Language Models",direct source page fetched; title/abstract or page description captured,abstract_verified,role-playing/persona benchmark,dialogue/QA/generation,multi-turn/contextual,yes,limited,voice/persona,some,some,role profile construction; role-specific behaviour checks,static role/persona weaker than evolving dyadic canon,"Verified direct source page (acl_anthology); authors: not captured / web page; categories: ; abstract/page note: The advent of Large Language Models (LLMs) has paved the way for complex tasks such as role-playing, which enhances user interactions by enabling models to imitate various characters. However, the closed-source nature of state-of-the-art LLMs and their general-purpose training limit role-playing optimization. In this paper, we introduce RoleLLM, a framework to benchmark, elicit, and enhance role-playing abilities in LLMs. RoleLLM comprises four stages: (1) Role Profile Construction for 100 roles"
roleplay,CharacterBox,2024/2025,https://arxiv.org/abs/2412.05631,CharacterBox: Evaluating the Role-Playing Capabilities of LLMs in Text-Based Virtual Worlds,direct source page fetched; title/abstract or page description captured,abstract_verified,role-playing in text-based virtual worlds,interactive generation,yes/contextual,yes,some,yes/role voice,some,some,behavioural coherence; virtual-world interaction,role consistency is not the same as co-authored narrative constraint ecology,"Verified direct source page (arxiv_abs); authors: Wang, Lei, Lian, Jianxun, Huang, Yi, Dai, Yanqi, Li, Haoxuan; categories: ; abstract/page note: Role-playing is a crucial capability of Large Language Models (LLMs), enabling a wide range of practical applications, including intelligent non-player characters, digital twins, and emotional companions. Evaluating this capability in LLMs is challenging due to the complex dynamics involved in role-playing, such as maintaining character fidelity throughout a storyline and navigating open-ended narratives without a definitive ground truth. Current evaluation methods, which primarily focus on ques"
roleplay,CharacterEval,2024,https://arxiv.org/abs/2401.01275,CharacterEval: A Chinese Benchmark for Role-Playing Conversational Agent Evaluation,direct source page fetched; title/abstract or page description captured,abstract_verified,Chinese role-playing conversational agent benchmark,dialogue,multi-turn,yes,limited,voice/dialogue,some,some,character consistency/dialogue/attractiveness dimensions,persona dialogue focus; less plot/world/subtext preservation,"Verified direct source page (arxiv_abs); authors: Tu, Quan, Fan, Shilong, Tian, Zihang, Yan, Rui; abstract/page note: Recently, the advent of large language models (LLMs) has revolutionized generative agents. Among them, Role-Playing Conversational Agents (RPCAs) attract considerable attention due to their ability to emotionally engage users. However, the absence of a comprehensive benchmark impedes progress in this field. To bridge this gap, we introduce CharacterEval, a Chinese benchmark for comprehensive RPCA assessment, complemented by a tailored high-quality dataset. The dataset comprises 1,785 multi-turn "
instruction_following,IFEval,2023,https://arxiv.org/abs/2311.07911,Instruction-Following Evaluation for Large Language Models,direct source page fetched; title/abstract or page description captured,abstract_verified,instruction following,constraint compliance,no/short,no,no,format/style sometimes,no,no,crisp explicit constraint checks,explicit constraints only; latent constraints not tested,"Verified direct source page (arxiv_abs); authors: Zhou, Jeffrey, Lu, Tianjian, Mishra, Swaroop, Brahma, Siddhartha, Basu, Sujoy; categories: ; abstract/page note: One core capability of Large Language Models (LLMs) is to follow natural language instructions. However, the evaluation of such abilities is not standardized: Human evaluations are expensive, slow, and not objectively reproducible, while LLM-based auto-evaluation is potentially biased or limited by the ability of the evaluator LLM. To overcome these issues, we introduce Instruction-Following Eval (IFEval) for large language models. IFEval is a straightforward and easy-to-reproduce evaluation ben"
rewriting,RewriteLM / OpenRewriteEval,2023,https://arxiv.org/abs/2305.15685,RewriteLM: An Instruction-Tuned Large Language Model for Text Rewriting,direct source page fetched; title/abstract or page description captured,abstract_verified,instruction-guided rewriting,revision/rewrite,cross-sentence,no/indirect,no,yes/tone-style,yes/local edits,limited,rewrite operation taxonomy; style/tone transfer checks,successful rewrite may still bulldoze canon or relational state,"Verified direct source page (arxiv_abs); authors: Shu, Lei, Luo, Liangchen, Hoskere, Jayakumar, Zhu, Yun, Liu, Yinxiao; categories: ; abstract/page note: Large Language Models (LLMs) have demonstrated impressive capabilities in creative tasks such as storytelling and E-mail generation. However, as LLMs are primarily trained on final text results rather than intermediate revisions, it might be challenging for them to perform text rewriting tasks. Most studies in the rewriting tasks focus on a particular transformation type within the boundaries of single sentences. In this work, we develop new strategies for instruction tuning and reinforcement le"
social_reasoning,BigToM,2023,https://arxiv.org/abs/2306.15448,Understanding Social Reasoning in Language Models with Language Models,direct source page fetched; title/abstract or page description captured,abstract_verified,social reasoning / theory of mind,QA/evaluation,short/medium,mental-state,some,no,no,yes,belief/knowledge/perspective controls,"recognition/answering, not sustained generation with subtext","Verified direct source page (arxiv_abs); authors: Gandhi, Kanishk, Fränken, Jan-Philipp, Gerstenberg, Tobias, Goodman, Noah D.; abstract/page note: As Large Language Models (LLMs) become increasingly integrated into our everyday lives, understanding their ability to comprehend human mental states becomes critical for ensuring effective interactions. However, despite the recent attempts to assess the Theory-of-Mind (ToM) reasoning capabilities of LLMs, the degree to which these models can align with human ToM remains a nuanced topic of exploration. This is primarily due to two distinct challenges: (1) the presence of inconsistent results fro"
benchmark_custody,SWE-bench Verified,2024,https://www.swebench.com/,SWE-bench Leaderboards,direct benchmark page fetched; page description captured,source_page_verified,real software tasks with human validation,task completion,repository context,no,no,no,repair/patching,no,human validation and benchmark custody model,"not narrative, but methodologically important for item validation","Verified direct benchmark page (swebench.com); page note: SWE-bench Verified is a human-filtered subset of 500 instances; use the Agent dropdown to compare LMs with mini-SWE-agent or view all agents [ Post ]. SWE-bench Multilingual features 300 tasks across 9 programming languages [ Post ]. SWE-bench Lite is a subset curated for less costly evaluation [ Post ]. SWE-bench Multimodal features issues with visual elements [ Post ]. Each entry reports the % Resolved metric, the percentage of instances solved (out of 2294 Full, 500 Verified, 300 Lite & Multilingual, 517 Multimodal). Analyze Results in Detail News [11/2025] Introducing CodeClash, our new eval of LMs as goal (not task) oriented developers! "
stateful_agents,tau-bench,2024,https://arxiv.org/abs/2406.12045,$\tau$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,direct source page fetched; title/abstract or page description captured,abstract_verified,stateful tool/policy agent benchmark,interactive task,multi-turn,no,no,no,yes/task repair,limited,stateful interaction protocol; policy adherence,task success not meaning-preservation,"Verified direct source page (arxiv_abs); authors: Yao, Shunyu, Shinn, Noah, Razavi, Pedram, Narasimhan, Karthik; abstract/page note: Existing benchmarks do not test language agents on their interaction with human users or ability to follow domain-specific rules, both of which are vital for deploying them in real world applications. We propose $\tau$-bench, a benchmark emulating dynamic conversations between a user (simulated by language models) and a language agent provided with domain-specific API tools and policy guidelines. We employ an efficient and faithful evaluation process that compares the database state at the end o"
tool_use,Berkeley Function Calling Leaderboard / BFCL,2024,https://gorilla.cs.berkeley.edu/leaderboard.html,Berkeley Function Calling Leaderboard (BFCL) V4,direct source page fetched; title/abstract or page description captured,source_page_verified,function calling/tool use,tool/action,multi-turn variants,no,no,no,some,no,tool-call receipts and structured action evaluation,"function correctness, not co-writing state",Verified direct source page (benchmark_page); authors: not captured / web page; abstract/page note: Explore The Berkeley Function Calling Leaderboard (also called The Berkeley Tool Calling Leaderboard) to see the LLM
stateful_agents,GAIA,2023,https://arxiv.org/abs/2311.12983,GAIA: a benchmark for General AI Assistants,direct source page fetched; title/abstract or page description captured,abstract_verified,general AI assistant benchmark,QA/tool/reasoning,multi-step,no,no,no,some,limited,realistic assistant-task pressure,multi-step opacity; not narrative-state diagnostic,"Verified direct source page (arxiv_abs); authors: Mialon, Grégoire, Fourrier, Clémentine, Swift, Craig, Wolf, Thomas, LeCun, Yann; abstract/page note: We introduce GAIA, a benchmark for General AI Assistants that, if solved, would represent a milestone in AI research. GAIA proposes real-world questions that require a set of fundamental abilities such as reasoning, multi-modality handling, web browsing, and generally tool-use proficiency. GAIA questions are conceptually simple for humans yet challenging for most advanced AIs: we show that human respondents obtain 92\% vs. 15\% for GPT-4 equipped with plugins. This notable performance disparity "
